amount,available_cash,required_reserve,pending_concurrent_outflows,agent_trust_score,agent_confidence,policy_violations,urgency_score,liquidity_ratio_before,projected_liquidity_ratio,global_projected_liquidity_ratio,reserve_shortfall,cross_agent_conflict_severity,risk_score,risk_category,recommended_decision
323633.23512125376,1967449.1454299095,1234625.215324232,296182.80151197023,93.10311872962745,0.965399647068495,0,3.0,1.594,1.331,1.092,0.0,0.012,15.2,LOW,ALLOW
956712.9231285136,1689406.2040393085,1098287.0033629888,463166.7740867417,45.700663126108424,0.9578169870067034,3,4.0,1.538,0.667,0.245,828760.5,1.0,95.1,CRITICAL,BLOCK
424527.91902349726,1687328.7609768275,457562.9738877969,561715.588837659,97.61308774121326,0.9202202378524844,0,3.0,3.688,2.76,1.532,0.0,0.086,12.2,LOW,ALLOW
676350.8881157431,1915695.2201755305,381310.59430431935,447196.8331949566,43.395200162043096,0.7355652094325744,1,2.0,5.024,3.25,2.077,0.0,0.01,29.5,LOW,ALLOW
721308.8334654545,1813752.096220619,187228.9140774045,344664.0235437024,85.0975465522866,0.6520091469930155,0,4.0,9.687,5.835,3.994,0.0,0.046,16.1,LOW,ALLOW
614466.3694952328,618615.8286462966,494892.6629170373,325713.599587876,85.21171475825565,0.982269636435177,0,1.0,1.25,0.008,0.0,816456.8,1.0,80.8,CRITICAL,MODIFY
85718.19715521218,1594317.6564517387,245868.0840484658,330969.1532276889,49.51122594789284,0.6759013961779461,3,2.0,6.484,6.136,4.79,0.0,0.125,30.7,LOW,BLOCK
844105.0407986756,369490.5705978336,295592.4564782669,548282.44678647,87.48992296343205,0.7487033765882393,0,3.0,1.25,0.0,0.0,1318489.37,1.0,76.5,HIGH,BLOCK
309896.8195514482,519339.7110184528,415471.7688147623,72587.59250978458,55.36982848259983,0.6782368446766561,0,1.0,1.25,0.504,0.329,278616.47,0.971,71.8,HIGH,MODIFY
731329.7178035382,1142961.0927699662,177541.0282392553,785608.0982513927,43.489625843464545,0.7455273228678199,0,1.0,6.438,2.319,0.0,551517.75,1.0,76.5,HIGH,MODIFY
680403.9957080398,249776.40539458906,199821.12431567127,687486.8993126703,96.38699037709225,0.673508017273455,0,2.0,1.25,0.0,0.0,1317935.61,1.0,80.9,CRITICAL,BLOCK
194058.68853378878,374538.40650450264,299630.7252036021,299334.64273205405,50.43876901712096,0.7718720584771286,1,2.0,1.25,0.602,0.0,418485.65,1.0,92.5,CRITICAL,MODIFY
1122998.7237582498,1001191.604544334,800953.2836354673,710586.8337037048,86.82520103083206,0.6469104014695427,2,3.0,1.25,0.0,0.0,1633347.24,1.0,84.0,CRITICAL,BLOCK
128668.66776499702,1262191.3890039914,375970.1674082228,154527.7571886978,49.15990461292246,0.8391447284728264,0,4.0,3.357,3.015,2.604,0.0,0.139,16.9,LOW,ALLOW
669809.5952563111,1006284.045422226,307115.1975747336,270675.1540078054,61.57591712729261,0.6933860288154404,1,2.0,3.277,1.096,0.214,241315.9,1.0,75.8,HIGH,MODIFY
713448.5261704671,1387388.043655063,1168725.5630845872,678219.3274488676,45.36625497897895,0.8553736127541638,2,4.0,1.187,0.577,0.0,1173005.37,1.0,98.0,CRITICAL,BLOCK
918591.9077371762,708610.804204416,332892.1527018484,234367.3225894408,76.95401721561575,0.7576528534271132,0,4.0,2.129,0.0,0.0,777240.58,1.0,81.3,CRITICAL,BLOCK
927181.5186125097,750615.6481482555,600492.5185186045,616674.1888764644,81.23519756832582,0.8057445506318681,0,1.0,1.25,0.0,0.0,1393732.58,1.0,78.1,HIGH,BLOCK
772709.5895502553,1820497.4206409964,882762.4927016669,591405.6423184634,71.52323578037189,0.618410944097039,0,2.0,2.062,1.187,0.517,426380.3,0.783,50.1,MEDIUM,MODIFY
526226.8350188634,1682743.0314251008,1073623.252879843,406699.8632191684,90.10402712612685,0.798410777633051,0,1.0,1.567,1.077,0.698,323806.92,0.602,38.1,MEDIUM,MODIFY
772101.1587194374,566494.8202035975,429094.8709178432,12474.167616569253,94.40309397509571,0.6803516372377058,0,3.0,1.32,0.0,0.0,647175.38,0.201,55.6,MEDIUM,BLOCK
1184631.7382454854,1696347.2693812195,1478942.6527099905,661257.7690385092,61.935242869983895,0.9267370512095385,0,2.0,1.147,0.346,0.0,1628484.89,1.0,85.4,CRITICAL,MODIFY
819670.9058354965,664733.5334681019,531786.8267744816,568137.9429325066,93.22318092692818,0.7207983069114517,2,3.0,1.25,0.0,0.0,1254862.14,1.0,86.4,CRITICAL,BLOCK
1012734.7515693322,1682398.858253298,659127.8789596037,151597.21265271085,85.97429539117793,0.6988359385285567,0,4.0,2.552,1.016,0.786,141060.98,0.514,32.0,LOW,MODIFY
199119.3622621774,326943.8382064901,261555.0705651921,632952.0373853254,43.923518581823664,0.8094064850932183,0,3.0,1.25,0.489,0.0,766682.63,1.0,90.0,CRITICAL,MODIFY
321184.03568197443,715590.1261602988,572472.1009282391,608791.4295160812,63.299468387289124,0.9453838575241742,0,1.0,1.25,0.689,0.0,786857.44,1.0,84.5,CRITICAL,MODIFY
568058.8158949878,428807.0539594143,343045.64316753147,87475.1157248415,53.49005966815236,0.9249069462071724,0,1.0,1.25,0.0,0.0,569772.52,1.0,84.3,CRITICAL,BLOCK
720431.7568634496,988595.4106526328,342724.2558206033,32841.52545259449,95.08331989283516,0.8990481706712988,0,2.0,2.885,0.782,0.687,107402.13,0.417,36.8,MEDIUM,MODIFY
77149.51005325545,1031663.7677041346,825331.0141633077,304027.47483907646,95.86245607746042,0.7971818927289788,0,2.0,1.25,1.157,0.788,174844.23,0.512,19.1,LOW,ALLOW
1013672.5405042885,245557.4122697648,196445.92981581186,481328.04351184727,56.98058570812892,0.6628282188319544,0,3.0,1.25,0.0,0.0,1445889.1,1.0,85.1,CRITICAL,BLOCK
1120032.670667551,1313455.2053873867,379385.5766021246,296297.71732348215,48.46570212535305,0.6404791132128498,0,4.0,3.462,0.51,0.0,482260.76,1.0,86.0,CRITICAL,MODIFY
51882.312675789806,1742605.4224679805,1178937.937678299,436466.02674677374,41.16780816974412,0.9213593782873188,0,4.0,1.478,1.434,1.064,0.0,0.042,21.8,LOW,ALLOW
739004.1170086737,1546524.9331876952,1071889.5831127402,276117.00284559187,98.29067130062845,0.7774438696120705,2,2.0,1.443,0.753,0.496,540485.77,0.804,62.9,HIGH,BLOCK
879864.4565603156,602911.7037350931,537265.7392924712,770431.7508183122,62.91865486613875,0.7003122721162112,0,1.0,1.122,0.0,0.0,1584650.24,1.0,83.9,CRITICAL,BLOCK
1056967.9797767345,276598.7994363733,221279.03954909864,681346.9185053444,98.26187271424848,0.64875944605211,0,2.0,1.25,0.0,0.0,1682995.14,1.0,78.1,HIGH,BLOCK
538232.5371602566,951906.1269540098,761524.9015632079,310754.2840452024,61.450055449681564,0.7271442840210768,0,2.0,1.25,0.543,0.135,658605.6,1.0,76.9,HIGH,MODIFY
877875.091542288,1223095.8681574722,978476.6945259778,627300.6237678304,61.44147940815169,0.7807166127398621,1,4.0,1.25,0.353,0.0,1260556.54,1.0,89.0,CRITICAL,MODIFY
655966.16049232,907093.2094335307,784813.8078799675,361855.84843349614,93.37588775262523,0.9727358088052667,1,4.0,1.156,0.32,0.0,895542.61,1.0,79.7,HIGH,MODIFY
467305.6961981591,1193047.5324531225,361571.1181650271,414000.6865965355,50.638598767286226,0.7727623332984432,0,4.0,3.3,2.007,0.862,49829.97,0.438,32.4,LOW,MODIFY
925395.6360777337,1970538.59936259,1068850.7248501584,512990.51285908505,73.92907942183075,0.9123263531710639,0,3.0,1.844,0.978,0.498,536698.27,0.802,54.8,MEDIUM,MODIFY
386295.37788276415,434999.1513246034,347999.32105968276,746416.1739551581,76.12716894823834,0.8867738727104171,1,1.0,1.25,0.14,0.0,1045711.72,1.0,87.0,CRITICAL,MODIFY
72775.72001885816,215603.62917415207,172482.90333932167,682080.7402726827,58.48433899106231,0.9517034652017919,0,2.0,1.25,0.828,0.0,711735.73,1.0,87.6,CRITICAL,MODIFY
385445.03900635045,318841.55164131604,255073.24131305283,723612.1167436511,66.35040451608711,0.73206210117344,0,3.0,1.25,0.0,0.0,1045288.85,1.0,80.3,CRITICAL,BLOCK
504071.18485081306,1821470.7045630394,355222.80723152007,425844.14428610494,76.47904466220076,0.661729364388056,0,4.0,5.128,3.709,2.51,0.0,0.105,11.3,LOW,ALLOW
1135028.164196827,648901.6350882091,303036.5936176722,727347.8594118588,45.72706709492756,0.6153575549489521,2,4.0,2.141,0.0,0.0,1516510.98,1.0,98.0,CRITICAL,BLOCK
983362.5280949266,235917.41513547048,188733.9321083764,744753.744846204,74.5085810552739,0.6709151295159759,2,4.0,1.25,0.0,0.0,1680932.79,1.0,94.9,CRITICAL,BLOCK
1064923.9394088248,1794086.9525939072,1483550.653344126,55111.99341556709,47.96166062964376,0.7170407710535491,0,2.0,1.209,0.491,0.454,809499.63,0.846,69.7,HIGH,MODIFY
432107.10151006974,1627007.3600692388,1211879.294456155,786856.733556495,69.19024388448429,0.842526255901967,0,2.0,1.343,0.986,0.337,803835.77,0.963,65.4,HIGH,MODIFY
1086093.047856918,1124161.0341105051,899328.8272884041,18755.47462468772,58.79548550727354,0.6650839485249245,0,3.0,1.25,0.042,0.021,880016.32,0.279,71.7,HIGH,MODIFY
1047727.630616098,799253.9554260179,192354.63981611503,741236.1241827586,40.62999489414568,0.8237245151213761,0,2.0,4.155,0.0,0.0,1182064.44,1.0,92.1,CRITICAL,BLOCK
839258.7491603115,264769.6841621316,211815.7473297053,268507.92984243564,87.38561582000902,0.9329143977725856,1,4.0,1.25,0.0,0.0,1054812.74,1.0,84.0,CRITICAL,BLOCK
239555.08516511467,823230.3715825884,503143.7147089584,225312.90809316945,44.91506141340795,0.7754509464526376,0,3.0,1.636,1.16,0.712,144781.34,0.588,46.8,MEDIUM,MODIFY
690571.4812407932,518792.9918773392,237694.87893513043,189556.2635593216,45.1558375131915,0.6294105018955591,1,3.0,2.183,0.0,0.0,599029.63,1.0,97.0,CRITICAL,BLOCK
1046905.7612362548,481238.82300376025,384991.0584030082,368610.39776207745,91.53068470599604,0.9065913367966253,0,1.0,1.25,0.0,0.0,1319268.39,1.0,73.3,HIGH,BLOCK
825865.1873272667,364854.66813232034,291883.7345058563,168175.23270844595,82.30177140746494,0.7508913700651968,0,2.0,1.25,0.0,0.0,921069.49,1.0,79.3,HIGH,BLOCK
231417.20733315073,1978273.2419039358,967368.0641015609,230450.79548099477,79.89340071318232,0.9373532083313956,0,2.0,2.045,1.806,1.568,0.0,0.076,11.0,LOW,ALLOW
233956.23365482074,423218.55325372936,338574.8426029835,678893.0435264435,84.62088822220895,0.6888090627889721,0,3.0,1.25,0.559,0.0,828205.57,1.0,79.6,HIGH,MODIFY
991117.5989379231,713725.4267399369,570980.3413919496,588354.5234249275,71.3024998561442,0.8553884452381497,3,3.0,1.25,0.0,0.0,1436727.04,1.0,96.3,CRITICAL,BLOCK
1084205.2214009156,310915.2310565811,248732.18484526488,48323.181985887146,84.58335732105752,0.76773696386204,0,4.0,1.25,0.0,0.0,1070345.36,0.204,63.8,HIGH,BLOCK
440160.94625525473,1258649.5219803972,1006919.6175843178,544864.6521896533,80.01353749333671,0.625692736968312,0,3.0,1.25,0.813,0.272,733295.69,1.0,69.8,HIGH,MODIFY
918460.8502836083,1064807.8536003686,824588.156531257,250779.7392959409,98.94674821163112,0.67421116992059,0,1.0,1.291,0.177,0.0,929020.89,1.0,76.4,HIGH,MODIFY
957539.4676425538,1783954.3732326655,587896.4975226829,756170.51108048,63.79125926907217,0.9387861093181739,0,2.0,3.034,1.406,0.119,517652.1,1.0,70.6,HIGH,MODIFY
1187816.939321146,450977.6474451836,360782.1179561469,505754.4299923415,63.56567689461181,0.6054405643001847,1,2.0,1.25,0.0,0.0,1603375.84,1.0,89.0,CRITICAL,BLOCK
198396.4432119677,555961.6717623562,444769.33740988496,663822.5314330802,90.37506483055941,0.7082911422015601,0,4.0,1.25,0.804,0.0,751026.64,1.0,73.0,HIGH,MODIFY
81114.89586911787,487677.16942143324,390141.7355371466,769151.5332818717,43.94745867866329,0.7260801751565142,0,3.0,1.25,1.042,0.0,752731.0,1.0,78.1,HIGH,MODIFY
593703.1784313278,1089616.8578156806,442145.200908678,765485.371995018,77.25900768755034,0.7320463984152601,0,4.0,2.464,1.122,0.0,711716.89,1.0,75.0,HIGH,MODIFY
454292.08621738764,1153346.0967795164,610481.2754573048,550811.5998750778,47.55987743142608,0.8204777986442147,0,1.0,1.889,1.145,0.243,462238.86,1.0,71.0,HIGH,MODIFY
287791.63601304503,577020.7799988845,461616.6239991076,697499.0242871884,58.439685451972586,0.9571377854177177,3,3.0,1.25,0.627,0.0,869886.5,1.0,98.0,CRITICAL,BLOCK
161288.08870102413,795909.2964007942,412409.9919014077,257466.20167252488,77.32822216871546,0.978742916252006,0,2.0,1.93,1.539,0.915,35254.99,0.385,21.2,LOW,MODIFY
383017.45756002475,1213936.436515708,971149.1492125664,704582.5308298031,62.66445724860837,0.6578586289525533,0,4.0,1.25,0.856,0.13,844812.7,1.0,78.5,HIGH,MODIFY
89641.28199880607,1904859.7121603112,1132566.2181460103,311661.1825074745,51.397721586269235,0.9002788193354162,1,3.0,1.682,1.603,1.328,0.0,0.127,20.2,LOW,ALLOW
991555.7685388363,1339525.6773046835,591739.4100191282,386042.49693082506,48.62109159110018,0.706375451185557,0,3.0,2.264,0.588,0.0,629812.0,1.0,88.6,CRITICAL,MODIFY
1149693.577879771,1683445.5956467348,1021886.1297075697,478069.75010085944,47.101382668625966,0.8860337680102851,1,2.0,1.647,0.522,0.054,966203.86,1.0,91.5,CRITICAL,MODIFY
843768.8514152018,646807.645434713,517446.11634777044,682160.8067209363,57.59244378207836,0.6796536098136249,0,1.0,1.25,0.0,0.0,1396568.13,1.0,87.8,CRITICAL,BLOCK
1092669.8825630986,341677.40988386393,273341.92790709116,118091.79453066045,76.927502353036,0.8165531013251959,0,3.0,1.25,0.0,0.0,1142426.2,1.0,78.9,HIGH,BLOCK
549466.8462788142,696709.0096772107,557367.2077417686,130320.87437200746,47.583605289797624,0.9728811684743532,0,3.0,1.25,0.264,0.03,540445.92,1.0,87.3,CRITICAL,MODIFY
664651.2716286156,767483.7164375767,613986.9731500613,503112.27103626495,78.1333707355646,0.7542597022609366,0,1.0,1.25,0.167,0.0,1014266.8,1.0,81.2,CRITICAL,MODIFY
618932.96239132,1561684.4745230176,203164.98907208795,578221.3373021497,82.10618325159056,0.7937038776644496,2,2.0,7.687,4.64,1.794,0.0,0.245,33.6,LOW,BLOCK
1167060.1267734647,623024.4753163079,498419.5802530463,270526.4394352359,64.34586552732299,0.8928317702348145,0,1.0,1.25,0.0,0.0,1312981.67,1.0,84.1,CRITICAL,BLOCK
989186.6821532974,912782.302873253,359228.4119869145,651491.3213685426,66.46139060992425,0.6449471676161735,2,3.0,2.541,0.0,0.0,1087124.11,1.0,95.0,CRITICAL,BLOCK
912648.0136578687,1061647.818061044,206937.43225672247,759972.8176154537,96.31084018467743,0.65369251426479,0,4.0,5.13,0.72,0.0,817910.45,1.0,74.9,HIGH,MODIFY
595750.4440693603,234660.31639609096,187728.25311687277,535713.6590167413,81.1303599587186,0.8145121217258646,0,1.0,1.25,0.0,0.0,1084532.04,1.0,77.3,HIGH,BLOCK
702084.0269264568,212874.27268092884,170299.41814474307,294494.58425729646,93.01615925068529,0.6640298798300384,0,1.0,1.25,0.0,0.0,954003.76,1.0,75.1,HIGH,BLOCK
249887.24103170662,1119583.3228465586,365815.4843524855,486094.8101060284,59.73465871476064,0.7275526525839564,0,1.0,3.061,2.377,1.049,0.0,0.395,29.1,LOW,ALLOW
926319.8323009318,1941922.5929121338,1056992.601163215,163672.04895515463,46.64891584558744,0.7511063051507471,0,2.0,1.837,0.961,0.806,205061.89,0.494,43.5,MEDIUM,MODIFY
812305.5362333914,1545091.4676301002,1274455.092706995,709321.7229441295,88.25375726743687,0.7407659453963794,0,2.0,1.212,0.575,0.018,1250990.88,1.0,79.3,HIGH,MODIFY
378782.86283246276,654198.6390221932,523358.91121775453,173138.84395114894,50.67422967226149,0.7302334854042347,0,4.0,1.25,0.526,0.195,421081.98,1.0,81.9,CRITICAL,MODIFY
1105774.5515935263,903357.9042797041,722686.3234237633,384140.4590656153,75.2076821016908,0.9100512384984245,0,2.0,1.25,0.0,0.0,1309243.43,1.0,80.5,CRITICAL,BLOCK
447979.220049212,1930175.1143267523,281264.10448756866,516617.69265404606,97.28547169243376,0.8893201295421527,0,3.0,6.863,5.27,3.433,0.0,0.063,10.2,LOW,ALLOW
1065960.739479265,672906.1784034204,538324.9427227363,640445.3868542078,52.0752916268943,0.9585684800767661,1,1.0,1.25,0.0,0.0,1571824.89,1.0,90.7,CRITICAL,BLOCK
1064863.606839885,1504656.2539238115,764580.1795588351,555934.8616447735,56.114938683315685,0.6087979895928645,0,1.0,1.968,0.575,0.0,880722.39,1.0,86.9,CRITICAL,MODIFY
45578.756587369564,317283.97991932987,253827.1839354639,397938.74879173946,88.99662176129515,0.7608454585690716,3,1.0,1.25,1.07,0.0,380060.71,1.0,83.1,CRITICAL,BLOCK
1156195.6339900938,681111.9887526568,544889.5910021255,150455.85176240496,80.69083682024001,0.9160380316582317,3,1.0,1.25,0.0,0.0,1170429.09,1.0,90.2,CRITICAL,BLOCK
1019663.3148462019,1079349.723648539,462553.1901867582,37835.62354157626,61.47805290085482,0.8332391400877079,0,4.0,2.333,0.129,0.047,440702.4,0.363,65.8,HIGH,MODIFY
391646.3734573274,1507157.4851262814,880035.470401415,511451.34774916014,64.01309709447474,0.8262825986496648,0,3.0,1.713,1.268,0.686,275975.71,0.614,40.8,MEDIUM,MODIFY
814095.729479936,1410784.2963411405,1128627.4370729125,326260.6225033333,96.72179852031893,0.6337137682351413,0,2.0,1.25,0.529,0.24,858199.49,1.0,66.5,HIGH,MODIFY
1035541.9529199736,1039799.3133320193,831839.4506656155,131420.92162216245,42.52258824753591,0.7974776226143276,1,2.0,1.25,0.005,0.0,959003.01,1.0,95.1,CRITICAL,MODIFY
960495.3025482162,1697623.5638605729,365227.758876846,111617.04049844721,88.15923499870591,0.6802669873954903,0,1.0,4.648,2.018,1.713,0.0,0.447,29.7,LOW,ALLOW
665033.7913700785,1235836.2645452684,493868.17039237986,753831.888226878,83.6429645745468,0.8667641690135275,1,4.0,2.502,1.156,0.0,676897.59,1.0,79.3,HIGH,MODIFY
477431.6778085752,910928.9343775647,728743.1475020518,461615.5466504952,84.23975259119203,0.8682423673801909,3,2.0,1.25,0.595,0.0,756861.44,1.0,94.8,CRITICAL,BLOCK
234114.04767841284,1701828.7036500655,1358566.3752032856,476.8961261721216,86.82204570760985,0.7967593237904811,0,2.0,1.253,1.08,1.08,0.0,0.137,22.5,LOW,ALLOW
259000.38894221614,1560441.027067719,558857.7685062821,510598.8925492001,96.14148373197888,0.6744925627795397,0,3.0,2.792,2.329,1.415,0.0,0.018,4.4,LOW,ALLOW
1141705.0618049055,328405.07120370364,262724.0569629629,337534.0220026648,61.093343079339846,0.7571703156390912,0,3.0,1.25,0.0,0.0,1413558.07,1.0,83.9,CRITICAL,BLOCK
1104271.2710748834,746815.8958207292,597452.7166565834,508175.68072559335,75.00683506928844,0.8648557947696749,3,4.0,1.25,0.0,0.0,1463083.77,1.0,95.6,CRITICAL,BLOCK
466668.7740085449,1461136.7050742765,1312586.0778769318,431213.8424503051,45.782402254189535,0.8685505453421074,0,3.0,1.113,0.758,0.429,749331.99,0.871,73.7,HIGH,MODIFY
113326.06110794413,1932982.8685328895,1174716.7905638502,201725.10471186013,45.43088152181294,0.6957019124364008,1,1.0,1.645,1.549,1.377,0.0,0.068,23.3,LOW,ALLOW
378678.1579079081,1971200.444137328,196361.9022509298,621731.017256022,90.42388941065028,0.6844565880995224,0,1.0,10.039,8.11,4.944,0.0,0.103,10.3,LOW,ALLOW
92228.53450079558,250824.34627390438,200659.4770191235,144986.62032592282,56.20972774275192,0.8203694830938388,1,1.0,1.25,0.79,0.068,187050.29,1.0,87.6,CRITICAL,MODIFY
547553.8592721035,1130125.3846584125,384790.21614829707,682844.0497085224,42.3491731146493,0.8344369356278485,0,2.0,2.937,1.514,0.0,485062.74,1.0,79.0,HIGH,MODIFY
788107.1273046572,897146.6213191464,717717.2970553171,141305.28433598677,62.22645694455956,0.7178878847602332,0,4.0,1.25,0.152,0.0,749983.09,1.0,82.8,CRITICAL,MODIFY
130829.88750692898,1461404.047209576,1169123.2377676608,111364.24620150925,83.68102718702718,0.9692022473814363,0,4.0,1.25,1.138,1.043,0.0,0.074,19.6,LOW,ALLOW
448263.07487078063,1475135.851989056,1180108.6815912449,434787.70319418964,64.6988508622782,0.6130793757645179,0,4.0,1.25,0.87,0.502,588023.61,0.798,66.1,HIGH,MODIFY
299446.0311448076,1054325.9287058455,834603.3166424967,742294.2094536601,48.11410910740227,0.6094026173888011,0,2.0,1.263,0.904,0.015,822017.63,1.0,88.5,CRITICAL,MODIFY
322977.95309630694,1993736.7944617122,653977.7688864428,53455.10823050361,86.60989165842159,0.6723489722388014,0,1.0,3.049,2.555,2.473,0.0,0.035,5.3,LOW,ALLOW
81392.84347842081,1462653.0237740097,165111.38828105514,630469.6739445055,46.65240240059215,0.8597053649551878,0,1.0,8.859,8.366,4.547,0.0,0.046,17.6,LOW,ALLOW
264137.65187944274,638617.0651693211,510893.6521354569,531229.0815994713,68.21825076822435,0.6835077710347498,0,1.0,1.25,0.733,0.0,667643.32,1.0,81.6,CRITICAL,MODIFY
90912.8802154152,1117762.206954693,894209.7655637544,410707.6703898127,98.2543411722989,0.8208013896215391,0,4.0,1.25,1.148,0.689,278068.11,0.611,28.5,LOW,MODIFY
