description,agent_name,amount,urgency,intent_label
Payment of hardware maintenance contract for warehouse 6700,Payout Agent,356261.07,HIGH,SUPPLIER_SETTLEMENT
Disbursement for logistics partner freight clearing,Payout Agent,358733.82,CRITICAL,SUPPLIER_SETTLEMENT
Affiliate partner commission prepayment for festival sprint,Growth Agent,254671.66,HIGH,GROWTH_INVESTMENT
Brand awareness campaign media buying for Q4,Growth Agent,486583.13,CRITICAL,GROWTH_INVESTMENT
Yield optimization sweep of idle float to overnight liquid funds,Treasury Agent,746766.88,LOW,LIQUIDITY_REBALANCE
Partial refund due to discount coupon error at checkout,Refund Agent,94185.9,LOW,CUSTOMER_REFUND
Full refund for returned defective electronic unit #9998,Refund Agent,20520.97,HIGH,CUSTOMER_REFUND
Escrow account setup for disputed receivable recovery,Collections Agent,7742.6,MEDIUM,DEBT_COLLECTION
Full refund for returned defective electronic unit #1224,Refund Agent,83285.46,LOW,CUSTOMER_REFUND
Subscription cancellation charge reversal requested by user,Refund Agent,142112.05,MEDIUM,CUSTOMER_REFUND
Receivable discount fee for accelerated factoring liquidation,Collections Agent,72014.1,CRITICAL,DEBT_COLLECTION
Escrow account setup for disputed receivable recovery,Collections Agent,48394.71,MEDIUM,DEBT_COLLECTION
Legal notice issuance fee for delinquent enterprise account #9327,Collections Agent,75897.79,MEDIUM,DEBT_COLLECTION
Vendor payout for contract software engineering services,Payout Agent,304906.43,HIGH,SUPPLIER_SETTLEMENT
Vendor payout for contract software engineering services,Payout Agent,678106.94,CRITICAL,SUPPLIER_SETTLEMENT
Merchant store credit conversion to original payment refund,Refund Agent,73166.87,HIGH,CUSTOMER_REFUND
Liquidity pool re-allocation across multi-banking nodal accounts,Treasury Agent,1405993.16,MEDIUM,LIQUIDITY_REBALANCE
Chargeback resolution and customer refund reconciliation,Refund Agent,128545.93,CRITICAL,CUSTOMER_REFUND
Urgent payment to critical supplier to release pending shipment,Payout Agent,578920.91,CRITICAL,SUPPLIER_SETTLEMENT
Automated payment gateway collection retry incentive,Collections Agent,96658.32,MEDIUM,DEBT_COLLECTION
Treasury rebalancing to maintain regulatory statutory reserve buffer,Treasury Agent,1323866.52,CRITICAL,LIQUIDITY_REBALANCE
Payment of hardware maintenance contract for warehouse 1251,Payout Agent,591832.87,CRITICAL,SUPPLIER_SETTLEMENT
Subscription cancellation charge reversal requested by user,Refund Agent,117447.27,HIGH,CUSTOMER_REFUND
Affiliate partner commission prepayment for festival sprint,Growth Agent,433294.38,CRITICAL,GROWTH_INVESTMENT
Customer referral bonus pool allocation,Growth Agent,66154.59,LOW,GROWTH_INVESTMENT
Full refund for returned defective electronic unit #4727,Refund Agent,112268.19,CRITICAL,CUSTOMER_REFUND
Settlement of raw material invoice #8269 to primary vendor,Payout Agent,174773.59,HIGH,SUPPLIER_SETTLEMENT
Payment for Q3 vendor invoices regarding cloud infrastructure,Payout Agent,647107.6,HIGH,SUPPLIER_SETTLEMENT
Brand awareness campaign media buying for Q4,Growth Agent,115506.41,CRITICAL,GROWTH_INVESTMENT
Inter-account treasury transfer from primary current to payroll reserve,Treasury Agent,345097.1,CRITICAL,LIQUIDITY_REBALANCE
Short-term liquid mutual fund redemption to bolster working cash,Treasury Agent,1377960.62,MEDIUM,LIQUIDITY_REBALANCE
Merchant store credit conversion to original payment refund,Refund Agent,69476.0,LOW,CUSTOMER_REFUND
Receivable discount fee for accelerated factoring liquidation,Collections Agent,20007.68,CRITICAL,DEBT_COLLECTION
Sponsorship fee for national fintech developer conference,Growth Agent,360641.08,CRITICAL,GROWTH_INVESTMENT
Search engine marketing budget expansion for high-intent keywords,Growth Agent,434000.96,LOW,GROWTH_INVESTMENT
Chargeback resolution and customer refund reconciliation,Refund Agent,86646.98,HIGH,CUSTOMER_REFUND
Quarterly supplier retention bonus and milestone settlement,Payout Agent,56073.47,LOW,SUPPLIER_SETTLEMENT
Emergency reserve replenishment following high outflow cycle,Treasury Agent,1186037.37,MEDIUM,LIQUIDITY_REBALANCE
Treasury rebalancing to maintain regulatory statutory reserve buffer,Treasury Agent,991265.03,HIGH,LIQUIDITY_REBALANCE
Subscription cancellation charge reversal requested by user,Refund Agent,47031.0,CRITICAL,CUSTOMER_REFUND
Urgent payment to critical supplier to release pending shipment,Payout Agent,117600.03,HIGH,SUPPLIER_SETTLEMENT
Affiliate partner commission prepayment for festival sprint,Growth Agent,140357.66,HIGH,GROWTH_INVESTMENT
Hedging collateral deposit for forex currency fluctuations,Treasury Agent,459758.12,CRITICAL,LIQUIDITY_REBALANCE
Brand awareness campaign media buying for Q4,Growth Agent,260749.12,LOW,GROWTH_INVESTMENT
Goodwill refund for delayed order delivery breach SLA,Refund Agent,145123.19,HIGH,CUSTOMER_REFUND
Quarterly supplier retention bonus and milestone settlement,Payout Agent,248343.93,LOW,SUPPLIER_SETTLEMENT
Follow-up collection workflow trigger with dynamic discount #5295,Collections Agent,60533.21,HIGH,DEBT_COLLECTION
Routine bi-weekly supplier invoice settlement for inventory batch #8724,Payout Agent,68768.49,HIGH,SUPPLIER_SETTLEMENT
Short-term liquid mutual fund redemption to bolster working cash,Treasury Agent,989565.49,CRITICAL,LIQUIDITY_REBALANCE
Affiliate partner commission prepayment for festival sprint,Growth Agent,112899.66,LOW,GROWTH_INVESTMENT
Customer referral bonus pool allocation,Growth Agent,93736.4,MEDIUM,GROWTH_INVESTMENT
Escrow account setup for disputed receivable recovery,Collections Agent,68696.19,CRITICAL,DEBT_COLLECTION
Inter-account treasury transfer from primary current to payroll reserve,Treasury Agent,1016890.66,CRITICAL,LIQUIDITY_REBALANCE
Liquidity pool re-allocation across multi-banking nodal accounts,Treasury Agent,145802.8,HIGH,LIQUIDITY_REBALANCE
Merchant store credit conversion to original payment refund,Refund Agent,142632.72,HIGH,CUSTOMER_REFUND
Urgent payment to critical supplier to release pending shipment,Payout Agent,726272.16,HIGH,SUPPLIER_SETTLEMENT
Quarterly supplier retention bonus and milestone settlement,Payout Agent,192356.42,LOW,SUPPLIER_SETTLEMENT
Collection agency recovery contingency disbursement,Collections Agent,65961.92,LOW,DEBT_COLLECTION
Urgent payment to critical supplier to release pending shipment,Payout Agent,791615.68,MEDIUM,SUPPLIER_SETTLEMENT
Routine bi-weekly supplier invoice settlement for inventory batch #4538,Payout Agent,659789.74,MEDIUM,SUPPLIER_SETTLEMENT
Paid acquisition ad spend top-up on Meta and LinkedIn,Growth Agent,174773.68,MEDIUM,GROWTH_INVESTMENT
Full refund for returned defective electronic unit #3858,Refund Agent,17379.03,LOW,CUSTOMER_REFUND
Customer refund for damaged shipment order #6869,Refund Agent,118707.71,MEDIUM,CUSTOMER_REFUND
Treasury rebalancing to maintain regulatory statutory reserve buffer,Treasury Agent,343944.68,LOW,LIQUIDITY_REBALANCE
Chargeback resolution and customer refund reconciliation,Refund Agent,17933.75,LOW,CUSTOMER_REFUND
Escrow account setup for disputed receivable recovery,Collections Agent,53757.61,LOW,DEBT_COLLECTION
Legal notice issuance fee for delinquent enterprise account #1710,Collections Agent,74088.08,HIGH,DEBT_COLLECTION
Early settlement discount incentive to collect overdue receivable,Collections Agent,99865.74,CRITICAL,DEBT_COLLECTION
Collection agency recovery contingency disbursement,Collections Agent,72678.12,CRITICAL,DEBT_COLLECTION
Settlement of raw material invoice #6277 to primary vendor,Payout Agent,506223.07,LOW,SUPPLIER_SETTLEMENT
Full refund for returned defective electronic unit #9984,Refund Agent,107110.77,CRITICAL,CUSTOMER_REFUND
Hedging collateral deposit for forex currency fluctuations,Treasury Agent,807771.5,CRITICAL,LIQUIDITY_REBALANCE
Settlement of raw material invoice #4522 to primary vendor,Payout Agent,372552.46,MEDIUM,SUPPLIER_SETTLEMENT
Follow-up collection workflow trigger with dynamic discount #8430,Collections Agent,42879.37,LOW,DEBT_COLLECTION
Affiliate partner commission prepayment for festival sprint,Growth Agent,349298.54,HIGH,GROWTH_INVESTMENT
Merchant store credit conversion to original payment refund,Refund Agent,14592.49,LOW,CUSTOMER_REFUND
Quarterly supplier retention bonus and milestone settlement,Payout Agent,608441.73,HIGH,SUPPLIER_SETTLEMENT
Customer refund for damaged shipment order #6400,Refund Agent,100831.98,CRITICAL,CUSTOMER_REFUND
Affiliate partner commission prepayment for festival sprint,Growth Agent,485779.38,HIGH,GROWTH_INVESTMENT
Influencer campaign budget deposit for festive season launch,Growth Agent,145732.46,CRITICAL,GROWTH_INVESTMENT
Subscription cancellation charge reversal requested by user,Refund Agent,126960.64,HIGH,CUSTOMER_REFUND
Vendor payout for contract software engineering services,Payout Agent,655416.03,LOW,SUPPLIER_SETTLEMENT
Hedging collateral deposit for forex currency fluctuations,Treasury Agent,352582.5,HIGH,LIQUIDITY_REBALANCE
Brand awareness campaign media buying for Q4,Growth Agent,131632.5,MEDIUM,GROWTH_INVESTMENT
Liquidity pool re-allocation across multi-banking nodal accounts,Treasury Agent,298624.52,LOW,LIQUIDITY_REBALANCE
Routine bi-weekly supplier invoice settlement for inventory batch #7163,Payout Agent,364874.37,HIGH,SUPPLIER_SETTLEMENT
Partial refund due to discount coupon error at checkout,Refund Agent,108517.8,LOW,CUSTOMER_REFUND
Disbursement for logistics partner freight clearing,Payout Agent,615826.91,LOW,SUPPLIER_SETTLEMENT
Vendor payout for contract software engineering services,Payout Agent,546454.02,CRITICAL,SUPPLIER_SETTLEMENT
Emergency reserve replenishment following high outflow cycle,Treasury Agent,482433.58,LOW,LIQUIDITY_REBALANCE
Affiliate partner commission prepayment for festival sprint,Growth Agent,177460.91,CRITICAL,GROWTH_INVESTMENT
Hedging collateral deposit for forex currency fluctuations,Treasury Agent,408725.81,LOW,LIQUIDITY_REBALANCE
Routine bi-weekly supplier invoice settlement for inventory batch #5938,Payout Agent,758993.07,MEDIUM,SUPPLIER_SETTLEMENT
Sponsorship fee for national fintech developer conference,Growth Agent,103992.95,CRITICAL,GROWTH_INVESTMENT
Automated payment gateway collection retry incentive,Collections Agent,41119.71,MEDIUM,DEBT_COLLECTION
Treasury rebalancing to maintain regulatory statutory reserve buffer,Treasury Agent,655899.64,LOW,LIQUIDITY_REBALANCE
Early settlement discount incentive to collect overdue receivable,Collections Agent,92510.43,HIGH,DEBT_COLLECTION
Liquidity pool re-allocation across multi-banking nodal accounts,Treasury Agent,1093298.55,CRITICAL,LIQUIDITY_REBALANCE
Influencer campaign budget deposit for festive season launch,Growth Agent,59385.45,HIGH,GROWTH_INVESTMENT
Merchant store credit conversion to original payment refund,Refund Agent,14131.35,LOW,CUSTOMER_REFUND
Chargeback resolution and customer refund reconciliation,Refund Agent,79070.42,CRITICAL,CUSTOMER_REFUND
Brand awareness campaign media buying for Q4,Growth Agent,199880.88,MEDIUM,GROWTH_INVESTMENT
Settlement of raw material invoice #9693 to primary vendor,Payout Agent,432464.05,HIGH,SUPPLIER_SETTLEMENT
Paid acquisition ad spend top-up on Meta and LinkedIn,Growth Agent,96262.04,HIGH,GROWTH_INVESTMENT
Double charge correction and dispute refund for transaction #3504,Refund Agent,114272.08,LOW,CUSTOMER_REFUND
Merchant store credit conversion to original payment refund,Refund Agent,113412.43,CRITICAL,CUSTOMER_REFUND
Treasury rebalancing to maintain regulatory statutory reserve buffer,Treasury Agent,311340.36,LOW,LIQUIDITY_REBALANCE
Escrow account setup for disputed receivable recovery,Collections Agent,80651.32,LOW,DEBT_COLLECTION
Influencer campaign budget deposit for festive season launch,Growth Agent,257784.12,LOW,GROWTH_INVESTMENT
Urgent payment to critical supplier to release pending shipment,Payout Agent,107548.25,LOW,SUPPLIER_SETTLEMENT
